review,address
"11 years and 20+ movies and it all builds up to a meh of a movie.It was average. The good parts were good, the bad parts were really, really badJokes were excessive in what should have been a dark film.Ant-man coming back after 5 years shows Marvel Studios don't even care about their own continuity. If 5 years in real life is only 5 hours in the Quantum Realm why was Janet old in Ant-man and the Wasp? People still mock the Martha scene from BvS but let's be honest, the ""Cap freezes up and stops fighting when someone mentions Bucky"" nonsense is way worse than the Martha scene. It's used AGAIN in this one. It's ridiculous.They borrow from Dragon Ball Z for how time travel works, that way they can mess with time with no repercussions.Widow's death was emotional manipulation, and ultimately felt forgettable after the fact. Tony's death was the only really good part of the movie because it felt like the right way to end it, especially knowing how the MCu started with Tony being a selfish playboy.Steve somehow can go back in time and live out his life and be old in the present, with no changes to the current timeline? It's so stupid. And he gives the Shield to Falcon? Ugh. They really are going full SJW with future movies, aren't they? Forgettable movie. It was average at best and as usual the critics show how biased they truly are where they call this movie ""Once in a generation"" when it's just another MCU movie that is meh at best. Rotten Tomatoes also shows the bias used to protect the scores of MCU movies (not just them deleting negative audience ratings for Captain Marvel but legit critic score they manipulate). One critic gave the film a 2/5 but their review was labelled as ""Fresh"". Mind you, a 2.5 for BvS was considered ""Rotten"". Amazing how that works, isn't it? How a 2/5 is Fresh but a higher rating is somehow rotten for a non-Disney comic movie? But there's no bias (sarcasm)They further ruin Hulk and Thor, and seeing Hulk dab had me ready to walk out of the theater. I gave this a higher score intially but remembering the dab brought my score down from a 4 to a 3Seeing Captain Marvel easily destroying a full powered Thanos and shrugging off his blow like it was nothing shows how big of a Mary Sue she's really going to be in future films. And I honestly believe before hey did a bunch of reshoots a few months ago she beat Thanos and saved the day, and after seeing reaction to her character and Larson's comments against a large chunk of their potential audience they changed it to Tony stopping Thanos with the stones to keep from alienating more of their fans with that shoehorned in character.This should have been the end of the MCU. But the franchise prints money because of people like the guy who made headlines for seeing Captain Marvel 116 times and the guy last year who saw Infinity War over 100 times in theaters. So bad to average movies will continue to dominate box offices, prompting other studios to follow suit, meaning the days of good filmmaking will continue to fade into memory",26 Abbott Close Enoggera NSW 6025
"Though Avengers: Endgame is filled to the brim with heart felt moments, the logically mess cannot be ignored. The editing, pacing, and writing are a giant mess and no matter how many awesome visuals or big moments occur on screen, these major issues cannot simply be ignored. The Russos have finally made a mediocre at best film and I would not be surprised if studio interference was a part of it. You can subjectively love this movie, but you cannot simply ignore the plethora of narrative and character issues that are strewn throughout this 3 hour mess. C-",48 Adamson Crescent Salisbury East WA 4879
3 hours is too long for a movie. The special effects were great. And it was cool to see all the characters together. But they either need to add an intermission or just make the movie shorter.,72 Adair Street Kangaroo Flat QLD 2153
This movie is excellent in almost ever way you can think of. The movie fells like fan service to all the long time fans and still is great for the new group of kids. Love this movie with all my heart.,162 Abercrombie Circuit Ellalong TAS 4715
"Solid Marvel pic but too long.  The movie is definitely fun and a “must see” if you’re even a mild Marvel fan.  Yet, be warned there’s nothing new here and with all the hype I expected more.  The first two thirds of the movie are really slow and the plot feels labored and stale.  The last third of the movie is more interesting - yet, even there, the fights seem totally redundant.  Although I enjoyed the movie, and would recommend it, I feel like this movie reinforces the idea that Marvel needs a fresh approach going forward.  Also, I have to comment on the length of the movie, three hours with no intermission just doesn’t work.  At least a third of the viewers in our theater had to get up and take a break during the screening... viewers of all ages by the way... so, I’d like to see either a shorter cut of the movie or an intermission built in...  its very distracting when people are moving in/out of the theater.",21 Abercrombie Circuit Glen Innes SA 2844
"movie had it's moments of ""awe"" and some very beautiful shots, but as a whole it was a huge disappointment, once the honeymoon phase is over in the next two weeks you'll see that with audience reviews and. scores.the good--Cap and Starks storyline came to a very nice conclusion--Cap being worthy of the hammer and assembling the avengers was the peak of the film--widow and hawkeyes moment before the soulstone was one of many tearjerkers of this movie--the visuals were amazing as alwaystoo much bad...--too long and not enough action, like over 2hrs of talking and just less than 45mins of actual action.--too much cringe from Cap Marvel every single scene she was in, way too OP, a healthy Thanos with all stones attacks her and she DOESN'T EVEN FLINCH AND JUST SMIRKS LIKE A MORON!! WTF is that??? lmao also she's so forced and such a last minute addition that there are too many plot holes with her. she's busy saving other worlds??? really?? Thanos is the biggest villain in the universe and has annihilated countless worlds within her jurisdiction, so where the **** was she? why hadn't she ""handled"" Thanos already???--they did Thor DIRTYYY, technically the most powerful of the earth heros, and goes through his character arc of Jerk hero full of himself, the downfall and finally his rise and belief in his ""godhood"" and completing his circle of the Thor that's close to his comic counterpart and king of Asgard....to being a basic ""fat clown"" in this movie, as if thats not bad enough he gives up his kindgom cause ""girl power"" so we can have a black female leading ""norse gods"" cause that makes sense.--Hulk isn't even hulk, he's just a nerd making jokes and never gets his chance at redemption and a cool fight with Thanos.--Black widow is killed off without her even getting her solo movie after having been in the movies the past decade...--the time travel arc was lame as hell and was not original whatsoever--Story was all over the place and convoluted ASF.honestly there's so much more to go on about but I'm sick of writing, will just post my reviews and forget about this movie ASAP. the rest of the MCU doesn't interest me aside from Guardians, especially if Thor is gonna be the new ""leader"" lol",3 Abercorn Crescent St Georges Basin QLD 4184
"These are my thought's. They killed off or retired any character that would have overshadowed Brie and the next MCU phase characters. It reminds me of my love affair with the season one of Macross saga aka (Robotech) anime from the 80s When that series ended with earth decimation I held my breath for what was to come after, and what came was a poorly constructed story minus my favourite characters. I don't not like this film, and I couldn't hate it if I tried too. Its a movie packed with fan service and a decent send-off I suppose. ""But I will be retiring with my favourite characters, and not returning for more. Let's hope the DCEU and Joker film will embrace me warmly."" Salute to the newer viewers Disney is making the films, for now, I hope they enjoy. truly Thanks, Russo bros",104 Abbott Street Currans Hill  2112
"Lets be fair we had high expectations and russos did not deliver, infinity war was way better than this. To begin they ruined thor after he got so boosted up, tons of loopholes, weak time travel plot, the only saving grace is the last fight.",16 Abernethy Street Marmong Point NSW 4069
"Wow, what a bloated disappointing mess of a finale. At 3 hours this is a boring and tedious film with phony drama and several humour miss-fires. A fat Thor gag is absurdly over done and sums up how tired and cynical this toy commercial is. Worst of all, the end is a re-run of the last film and I could only recommend this failure to the under 12's. If you liked Transformers, you'll like this.", Adinda Street Concord West NSW 7315
"Fantastic movie. The first half was pretty boring however. They spent way too much time on how the Avengers reacted to the deaths of everyone. The second half was great. The action was great and the emotional scenes hit hard. There was only one cringy scene in the movie and that's where all the female heroes moved in front of Spiderman and it panned around to look at them. I thought that was unnecessary. Overall, great movie and would highly recommend it.",21 Abercrombie Circuit Gunbower VIC 5608
"i was hesitant to give it a 5 or 6. after all its another braindead avengers movie by the same lazy hollywood studios that take their fan base for granted. a few nice moments in the movie, like the new hulk and thor scenes, but in generate stupid as **** as any other avengers movie. but i did give it a 6 in the end instead of a 5 just to celebrate the fact that this **** slide of MCU cringe movies is over. Cant wait for captain marvel to lead the MCU moving forward to a complete different league in the future of stupid ass ****ery that will ultimately make this crap MCU lineup seem like classic gold standards in comparison.",25 Adinda Street Tara VIC 4510
"I have watched all of the MCU and watch videos about the comics. I loved infinity war and this movie is definitely inferior to it. End Game had so much more to cover and conclude and falls short for it. The pacing suffers, going way to fast at the beginning yet dragging in the middle and then rushing the end. Also many characters are thrown aside, or even destroyed for the sake of convenience and comedy. Thor was probably the worst example. His whole very tragic story of everyone he loves dying and his vengeance fate but in this movie he is a useless, fat loser who even loses the one thing that makes him unique to the other heros, his ability to wield mjolnir, which can now be wielded by captain, which is cool, but in a film that trashes on thor, makes him feel even more pathetic. And I love Thor but even in the cinema I was in, when they are having their serious fight with Thanos, people were laughing at Thor just because he was fat. And Hulk was also severely side lined. After they cut him out of infinity war, fans were expecting to see him return and smash in the final fight, but he doesn't because he is (weirdly smaller) smarter hulk with a broken arm! The other thing that made me roll my entire body in the cinema in cringe was the political elements. There was dead silence every time captain Marvel showed up and no clapping or cheering for the feminist moment in the final fight. The way I see it is nobody wants politics in your movies! They also scared me by making me think captain Marvel was going to save the day but she does get slapped around so it balances out, as all things should be. In summary, infinity war had a better villain, better pacing and more emotional impact but you will enjoy it if you ignore the political jokes (and Brie Larson) and plot holes",17 Adinda Street Moss Vale VIC 4130
"I cannot say this movie was a solid 7/10. Many parts of it were 10/10, especially the parts surrounding the core Avengers, but the blatant fanfiction-tier politically motivated inserts brought the movie down in many ways. EDIT: Metacritic, WTF are you doing to my new lines?--Minor Spoilers follow--First, the good: This movie brings a solid and satisfying conclusion to the stories of some of the main avengers, and felt like a proper send-off to some of the best characters. The acting was A+, the effects were par for a Marvel movie, and the overall plot felt like a good continuation of Infinity War. --The Mixed-- This was kind of expected, but the way to figure out how to beat the most powerful being in the universe who has control of all of space and time felt like a giant deus ex machina. SPOILER: it's time travel. The Bad: Apparently, the original plan was to not feature Captain Marvel, and it shows. Her inclusions in the movie come out of left field and ultimately don't add much to the story. There were also a few scenes that broke continuity who's only purpose seemed to be to feature a bunch of female characters kicking butt. It felt as if they were just tacking things on to check off some boxes so the media hounds don't give them negative reviews. These things can be done well, as we saw with movies like Rogue One, but it was not done well here. Finally, there's never a rebuttal to Thanos's theory that the universe needs to be culled in order to survive. This theory was presented so strongly in Infinity War that I had a few friends thinking ""yeah, you know? Thanos was right. Thanos is the true hero!"". This movie does nothing to change our minds about that. To follow up on my Captain Marvel review, I called it (...mostly): Captain marvel is so powerful she singlehandedly wins the final battle for the Avengers, but she doesn't defeat Thanos. Frankly, it was pretty satisfying to see Thanos punch her smug face and send her flying, especially considering that was the first blow she receives on-screen after unlocking her full power in the Captain Marvel movie.",51 Abrahams Crescent Concord West VIC 2144
"Infinity War was a 10 for me...this was a 4.  Too many long & drawn out scenes.  Some jokes they took too far or went to the well too many times..THOR cough cough...Everyone will praise this film, I think it kinda sucked.",84 Ackland Place Tullymorgan NSW 6330
"So here is where all the threatened males are coming to rate the movie a zero because “women” have a moment in the movie, but they can’t quite give the movie a zero because it’s also the best super hero movie they have seen in their entire lives. So we get a lot of 5’s because the conflicted “fandom” of sensitive males can’t put aside their injured egos and rate this film honestly.Review: The movie doesn’t have the wall to wall action of Infinity War, but when the action comes, the impact is far more spectacular. The writing is spot on, the performances, the emotion... amazing. The only place I could dock this movie a point is trying to decide when to go pee because movie soft drinks and 3 hour runtimes are not a good mix for me.Do not see this movie unless you have seen at least the last episode of each the individual movies. The impact will be so much greater. But to everyone else... SEE THIS MOVIE NOW. This is the the movie event of this decade.",110 Abernethy Street Glenmore Park VIC 3150
"(RottenTomatoes)- They delete my reviews frequently and the ratings for movies are not as accurate. There time was good, but MetaCritic's time is now. Thank you MetaCritic for not denying people freedom of speech and being corrupt. The 3 hours was unnecessary. First hour is filled with bad jokes and lines that sound like they were written by 5 year old. They spend time on things that don't matter. We want to see Iron man struggle in creating the time machine, we want to see Captain marvel searching to find Iron-man, we want to see Ant-man being abandoned in the void. We don't want to see people eating with hulk at a dinner talking about how they shouldn't give up hope and that the time machine idea is good. Like, seriously way too much time in convincing people to do things that they shouldn't need convincing of or we DID NOT NEED TO SEE. Then Captain america ruined the whole time theory they set up. If he went back in time and married her, then that means there were 2 captain Americas and he somehow stayed in hiding never got recognized. But then also, in a previous movie he banged her child, so presumably that means either she was never born because he married her. OR perhaps that means Captain america always was with her and then that means he **** his own daughter. But still that would mean that there should currently be one old Captain america and a young one. But we only see the old one. There should be two. And the shield was also supposed to go to Bucky.    This project took years and it is just barely not ****. They made the first one good, so they didn't need to try on this one I guess.    The last movie felt like adults wrote the script, but this one seems like it was written by a girl in 8th grade.",5 Abercrombie Circuit Tambellup QLD 2036
"The movie is quite good, with a few notable incongruous moments dealing with that ""timey-wimey"" stuff.  I wasn't a fan of how the Captain Marvel character was used at all, but some of my fears there did not come to fruition so I can handle it.  Most of the issues are minor, and it's a substantive and worthy conclusion, overall.",64 Abbott Street Redbank Plains VIC 3023
The movie is OK. There's couple of characters and scenes that seem little bit or a lot(most people probably know what i mean)out of place and unnecessary. First Avengers movie was much better but this one is fun too.,308 Abrahams Crescent Toowoomba WA 4125
I was there at the beginning as Iron Man took flight for the fist time. I was there for the first Avengers I was there for Infinity War and everything in between. But the ending felt... hollow. It was funny it was even emotional but something was... off. It did not work. There was some forced stuff I will not get into and a ton of things that did not make any sense. The ending of the movie is a set up for things to come but it feels eerily similar to what happened in the comics industry. Good characters got destroyed and mediocrity took over in the name of misguided agendas.You can judge it best for yourself but I can't help but feel as if they could have done a lot better.,17 Abercrombie Circuit Northbridge QLD 4303
"All right so here it goes. Better than Infinity War? No. Bad movie? Absolutely not. My biggest problem with this movie is that it tries to bite too much and it can't chew most of it. Especially when it comes with the script, Endgame is a bunch of movies mashed together and it works (for the most part). They subvert our expectations in some good ways and bad ways, my biggest problem with this was what they did to Thanos. They kill the original in the first 10 minutes of the movie so the villain of this movie it's another Thanos from another timeline who doesn't have the same experience that the original Thanos has. And he is in this movie for 5 minutes or more. But I think this is my only problem with this movie, they really wasted Thanos which is the best villain (as of 2019) in the Marvel Cinematic Universe.This is a 180 minutes movie and it really doesn't feel like it is which is an awesome thing and the directors and screenwriters should be commended by it, they really did a good job, the movie is the most fan service and that is great, Cap using Thor hammer is one of the best scenes in this franchise.Overall Endgame is a great movie that tries to do too much but I still think that is one of the best Marvel movies only losing to Infinity War.",4 Absolon Place Lauderdale NSW 3075
"It was an okey movie but it really dropped the ball at the ending.1. Tony Stark dies, i can accept it but.... They have all infinity stones + Hugo Strange that can heal any wounds with the time stone so his death made no sense.2. Thanos lost in a unfair match against Team Space in the last movie but in this one hes able to compete with everyone, even Thor that (might been out of shape) had both mjolnir and stormbreaker that could oneshot kill him.3. Mary Sue Marvel had no place in this movie, it hurt every moment she was on the screen.and at the ending where she came in saved everyone and could tank thanos attacks that beat the hulk into a coward because ""gurl power"". Really hoped she would die in this movie.4. Timetravel works if its parallell universes but Captain America deciding to stay in the past for some coochi was pretty bloody dumb and somehow still end up in the main time line?5. Thor giving the reigns to a random valkyrian. Thor is of noble blood and is suppose to sit on the throne, he cant just give it to a random valkyrian that havent been in asgard for over a million years. Would make more sense if he adopted earths democratic voting system instead.6. The girl power moment was cringe and out of place, and the scientist from black panther would have 100% died in a real war. 7. How did Ant-man survive a rocket that could destroy a whole house to the face?But the movie was still okey, but i think this will be the last avenger movie i will ever watch and just keep following Spider-man movies in the future.",12 Abercorn Crescent Revesby WA 3340
"Complete mess, shoehorned everything but the kitchen sink, and destroyed a golden path laid out by Infinity War, bits were really good but over all it is nothing but a word minced maze of lack of imaginations colliding. Been marvel my whole life, and now with this i am not. Thanks for nothing.",221 Abbott Street Raby SA 3169
"They say they want to make a good story, 11 years marvel, or 11 years from several characters? really many hole plots, and lazy writing. the infinity war is very good, but endgames make urinating less painful than seeing their stories.I have to say, i have a mixing feelings, as the fan. the services was good, but as movie lover, it didn't",156 Abercorn Crescent Clifton Springs NSW 2033
"Realmente no estamos ante evento cinematográfico del siglo. Es una película entretenida llena de conveniencias y algunos huecos de guion. No es insoportable pero tampoco es, como ya se dijo, lo mejor del Aquí algunas inconsistencias:- Capitán A. y el martillo de Thor es un gran Deus Ex Machina- La rata que libera a Ant Man es la mayor conveniencia de la película.- El hecho de que Thanos pudiera viajar al ""futuro"" es imposible, pues solo se había entregado dos frascos de partículas Pin a cada personaje, por ende entre Nebula y War Machine solo tenían 4, 2 fueron gastadas cuando ambos viajaron al ""pasado"" y la última cuando War Machine vuelve al ""presente"", por ende la última solo pudo ser usado por Nebula o Thanos, aunque finalmente todo su maldito ejército va al ""presente""-El hecho de que hayan tirado el guante con las gemas me hace pensar en una película slasher cuando los personajes tiran un arma a pesar de que están en peligro, en el caso de Avengers a pesar de que tienen el arma más peligrosa  -A su vez si hubieran usado el guente en la batalla con Thanos la película no se hubiera    alargado más, aunque esa batalla si estuvo buena.-Capitana Marvel al comienzo y al final llegando porque sí.- Al final Iron Man le quita las gemas a Thanos ¿cómo?, no importa mientras que los buenos ganen.- Aunque no afecte a la trama el Cap. viejo del final no tendría sentido si se sigue la lógica de la película, si aquello que sucede en un ""pasado"" realmente no afecta al futuro.",1 A'beckett Street Dulwich Hill NSW 7330
"Trust me, Disney ruined the future of the Marvel universe. It's fanboys fault!",47 Acraman Place New Farm QLD 3608
"22 movie has led to this garbage. Thank you MARVEL, THANK YOU SO MUCH YOU FKING IDIOTS!I have Spider-Man tattoo in my whole arm, you know i'm a fanboy but this. this is just pure garbage movie.First of all, it's not even half of Infinity War.This movie is basically most expensive fan fiction movie of all time. All of the movie is just Star-Lord's Thanos slapping cheap. All of the motives, events everything is that much ridiculous.1) You fcking shove Captain Marvel into MCU before this. She is absent from movie. What the hell you forced her to MCU at this point. You don't need her.2)Everyone waiting for Hulk's revenge, but oh no! He is peacefull and powerless. It's not the same Hulk, he is shorter, smaller, and not powerfull as old one.3) You make Thor OP at IW, but oh no! He is fcking a loser now. He can't even hit a punch on Thanos. Everyone waiting for Thor but you wasted him. He killed Thanos with full Gauntlet but now he cant even hit stoneless Thanos. Bravo Marvel, f*cking Bravo.4)Some things should stay in comic pages. Comic has lots of ridiculous things. Captain America and Mjolnir is one of them. It's not working like that, that hammer won't go who ever calling it. You can't stay consistent with your rules. Also that idiot is not worthy, after everything happened Civil War and Infinity War is because of him. He is the biggest douchebag in MCU. Worthless bastard.5)Ant-Man's come back... All of the universe saved because of a rat. If there isn't a rat there all of the universe is just fked up...6)14 million possibilities and 1 success. It is really this one? If you saying this, i will look for all of the possibilities. You should make a ending with no other possiblities. But I can assure you the is a possibility there is Thor is not an idiot or Captain Marvel is actually usefull. Or Doctor Strange is just fking do something other than holding water... Marvel, you are just bunch of idiots you know. Hell, there should be a timeline that Thor hits Thanos' head or Ironman tooks stones and just runs, there is no need to use those but they should kill him you know, so he is used the stones... Captain Marvel can destroy that thrash can gauntlet with power, why the hell she didn't do that? Also why the fk Thanos did go to Nidavellir for Gauntlet? Stark can do this with Aluminium not even vibranium you know? And Hulk cried 5 hourse after stones but Ironman just talked with no problem... This movie is just **** garbage.",579 A'beckett Street Koah VIC 5108
"I saw the movie yesterday. I'm not a Marvel fan but I saw the Avengers saga and the last movie was good.- Captain Marvel appears at the beginning of the film with some effects taken from a class B movie following a scene with an extremely arrogant dialogue on his part front of the other Avengers. (Come on! you did not appear in the other movies!). Then she disappears during the next 2 hours of film (I guess she went to take a haircut in that time) and she returns to destroy Thanos' ship in a ridiculous way. No one on earth is capable of destroying it? Or do something? Come on!.- The Incredible Hulk takes two whole movies without even giving a slap. It is one of the most important characters in Marvel comics and his scenes seem that they were of a film of Shrek (With a little more of intellect).- Thor... I have no words to describe how they humiliated one of the strongest Avengers. Marvel should never again print a Thor comic after this. I hope to make a team with him in a videogame or see him in a pub sometime. (Or maybe one day I find him playing bowling with Walter).- I did not finish to understand the trips in the time. More precisely in the scene that Antman returns to the present. I do not remember if it was in a previous movie or when he set up that machine. A friend told me what happened in one of the 23 MCU movies. But if to understand 1 movie I must see 23 movies something is wrong. - Excessive humor in the whole movie. It also happened in all the saga. There are moments of tension that need some seriousness in the movies but are ruined by some silly joke.- Unnecessary feminist fight- I did not like the dialogue of the final scene with Thanos saying ""I am inevitable"" and Ironman answering ""I am Iron Man"". I think it would have been better if he said ""We are The Avengers"".Throughout the saga there were moments that seemed to be watching Iron Man movies with sporadic participation of some characters.That final dialogue finished confirming that the saga should be titled as ""Iron Man and The Advengers""- I think the duration was long, maybe 2 and a half hours (or a little less) would have been enough.They missed the opportunity to give a great closing to a saga that began from minor to major.I want to congratulate the sound director and his team. The rest take a break and rethink if you want to continue doing bad movies.",4 Abercrombie Circuit North Tamborine TAS 3175
"Very good overall though a little too long, the 'Time Heist' was a bit silly and some characters got too much screen time at the expense of others e.g. the awful Nebula is critical to the plot while we don't really get The Hulk.",17 Abbott Street Como VIC 4812
"Best Avengers movie. . .GOOD story line, GOOD emotional impact, GOOD ending, GOOD Action. . .everything make this movie best. . .",428 Adinda Street Parkdale VIC 3073
As a marvel fan I honestly dont think I could have asked for a more fitting conclusion to a decades worth of film. Fan service has never been done at this extent without having to forfeit story.I have seen it twice and I suspect I will see it more. Fantastic. Bravo. Thankyou.,239 Adamson Crescent Nairne VIC 3084
"22 films and 11 years later, Avengers: Endgame is the end of an incredible stage in film within the blockbuster branch.You can hate it but definitely you must recognize that what Marvel Studios built with this franchise is something that will hardly be seen again in this industry.Superhero films existed before Iron Man and the MCU but the ambition of this project completely surpassed everything else.That the audience that perhaps didn’t care about comic books at all was so involved with this saga and followed it until the end says a lot. The tears that the people next to me spilled in the theater only confirmed it.Like Infinity War this film may not be able to sustain itself without the whole concept but as I said at the time about that film I come to repeat here as well. This isn't about that.If after 22 interlaced films you can not understand it, what's the point of saying more about it?Its achievements are numerous. Even with three hours of duration the film never feels heavy, perhaps a little overwhelming for the amount of things happening at the same time but the narrative hardly falls into bumps that make it feel slow or boring.The story is emotional enough especially in the end, even when they reach levels never seen before of fan service, everything feels in its place and I think the most devoted fans will be satisfied.The final battle is spectacular, finally I felt as if I were watching a comic book taking life from the pages to the big screen because the scale and the number of characters make it the most epic battle of the whole saga.But even in spite of its achievements it also has its faults.Despite the lenght you can feel the holes in the story. The visual effects vary too much because in some points it looks pretty good and in others it gets to look very bad. Even the CGI varies in quality because the work is so detailed in Thanos but so simple in Hulk.Even the soundtrack in spite of the quality is not as emotive as that of Infinity War.And for the same reason due to the size of the plot, many characters end up reduced to very small moments in screen.And of the three characters that closed their circle in this film, I must say that the ending of Black Widow was quite bad compared to that of Iron Man and Captain America.Avengers: Endgame closes a cycle and closes it with solidity in a very entertaining show.It's the film that was expected to be and as I said closes a monumental chapter in this franchise in terms of narrative and characters and at the same time laying the foundations for what is to come.Will a new saga of 10 years and more films follow? I don't know, and part of me doubts it, but no matter what happens in the coming years, the achievements of this franchise will undoubtedly be unforgettable for a lot of people.",68 Adcock Place Wights Mountain NT 2097
Avengers: Endgame is my new favorite movie of all time! It is just amazing!,176 Adamson Crescent Granville QLD 
"The best marvel movie to date that is no question, don't want to write any spoilers but it has a satisfying ending, wraps up perfectly that last 10 yrs. There is some aspect of the movie that not everybody will like, but just think about how hard to fit 20 characters in one movie and write them into the story, except 1 character they pulled it off brilliantly. Hard to write it without any spoilers, but for any comic-books fan it a must. For everyone else, don't think about it too hard, just enjoy the ride.",15 Abrahams Crescent Castlemaine QLD 4169
"Major plotholes, terrible pacing, long movie for no reason(could've been 2 hours easily),  Hulk is Yamcha, forced characters, crapped on Thor, many casuals didn't care for the Stan Lee cameo, cheap drama tricks, etc. Over done time travel story with plotholes. The only redeeming factors being a few decent jokes, The first 20 minutes and last 30 minutes.Extremely overhyped and really just for the casual Marvel audience. Two extra hours of lame fan service. Disappointing. If I was new to Marvel I understand why it's big but I'm not. It's generic if anything.",215 Abercrombie Circuit Mount Riverview VIC 2066
"Probably the largest scale film of our generation, with plenty of action and heart felt moments. Unfortunately, some of the plot holes are too big to forgive and forget and, at times, didn't even feel like an Avengers film.",24 Adkinson Close Woodville Park VIC 2284
"Avengers Infinity wars and Endgame might very well have been one movie and therefore could have saved me a ticket to the movie theater for the second time round. It wasn't necessary for it to be divided into two parts, hell it wasn't necessary for Endgame to be almost 3 hours long considering the flimsy plot!After I saw infinity wars, I already had a suspicion I was cheated, and Endgame proved that I was right. This entire movie was trying to drag for so long and even the quasi emotional scenes just didnt do it for me. I felt nothing when Black Widow jumped to her death, which was one of the few parts of this movie that actually made sense, sacrificing someone dear to get the soulstone.But what it came down to is the cliched classic jump back in time travel plot, however it wasn't supposed to be like Back in the Future, so they say. But Captain America came back in the same time-line as an old man, so how is that not like Back in the Future?!?Also Captain Marvel was totally hyped, but didn't played much of a role in the entire movie, talk about overhyping it!You see I have been cheated.....and all of you aswell.", Adamson Crescent Ashgrove  2031
The combination of 21 films does not disappoint. It’s not your typical Marvel movie as the Russo’s make this one different yet great like all there MCU films. This is an absolute blast of a film with so many emotional moments I’d be shocked if you didn’t cry. It has so many callbacks to past movies you wouldn’t be wasting your time rewatching every MCU film. Just wow. This film is amazing.,15 Adinda Street Coomera  3161
"Great movie, sadly some of the plot holes and overly funny scenes make this movie not perfection. But in summary, this is still a worthwhile movie for MCU's 11-year journey",34 Abbott Street Parmelia VIC 2749
"It's really good. They've done what needed to be done to conclude the saga, abandoning the usual cheesy ways superhero's movies end, and makes you understand that all Marvel movies til now were made in prior to this movie. I still prefer Infinity War over Endgame for being packed with more action (and badass) scenes, as Endgame is slower paced. But in a much more real sense, you'll love this either way, I saw people cry, laugh and shock themselves on the session. It's worth every penny and every second.",113 A'beckett Street East Roseville WA 3121
"It was a good movie for sure, but not great. I think found the biggest issues it faced were that they just have too many big characters in the Avengers that you simply can't do justice to them all - credit where credit is due they did pretty well. In fairness they did focus heavily on the older characters, and rightly so, however it missed an opportunity to do more with the newer ones as a result. Also Capt Marvel is way to over powered. I was also hoping for more of a feel good ending, this is why we watch these movies right? Anyway all in all it was a good run, but not as good as its predecessors in my opinion.",56 A'beckett Street Mount Eliza VIC 2170
"All in all I thought it was good movie, to sum it up in one word bittersweet. There were a lot of plot holes but they were ignorable for the most part. I really liked how they used captain marvel, and that Tony and Thor got some revenge. I thought what they did with Thor was abysmal, they could of handled that so much better than making him the dude. Professor Hulk was cool, but Hawkeye's Ronan story arc stole the show for the most part. The end war was visually stunning and action packed. the 3 on 1 scene with cap, tony and thor was so awesome. This was a great ending to a decade of movies, everyone was tied in at the end, that kind of story telling and character development is extremely impressive. I think that is the end of my MCU experience as they transition into phase 4 I think I have had enough. Thanks Marvel for over a decade of bringing the comics to life.4",46 Adamson Crescent Lysterfield VIC 4074
Worst Marvel movie ...............................................................................,5 Adinda Street Summer Hill NSW 5096
It wasn't that good of a movie. It didn't have enough action. I don't know why people are saying this movie is that good. I also didn't think it was that funny.,9 Abercrombie Circuit Proserpine WA 6008
"This review contains spoilers...For a 3 hour movie there is surprisingly little action. Central characters like Thor and the Hulk did hardly anything and were just lame. Captain Marvel was supposed to be their knight in shining armour but she was hardly in it at all and at the end fails to best Thanos one on one, even though she's just blasted through the middle of a giant space cruiser. I really thought she would be his downfall. If you're going to hype her up that much, make sure she's really a solid element of the film. Too much dialogue, too many sentimental moments. Ending it on Tony's Stark's funeral was just a downer when really you wanted some real cathartic, happy times after the bleakness of Infinity War. It's not even clear how Stark gets the stones from Thanos as one minute they're lodged in this glove and then next minute Stark has them without you even knowing why. Annoying that Black Widow has to die and they couldn't figure out another way to get the soul stone. Hawkeye's rage filled murdering spree near the beginning feels kind of forced and weird. Stupid humour that went way over the top, like Thor becoming a complete loser. It was funny for the first five minutes but when you realised how much they'd nerfed his powers you just felt disappointed, especially after how badass he was in Ragnarok. He was almost discounted from contributing altogether and was just pathetic. Stark's banter with his daughter was just cringey. Why did hulk wearing the infinity gauntlet for 10 seconds manage to restore the earth again? That wasn't explained but maybe I missed it. This always happens, when the hype is so high things go the other way. Captain Marvel's movie was dire as well. For me, although DC have a worse track record, Marvel still haven't topped Wonder Woman. Their new joker movie looks top notch too. Just hoping Guardians 3 is good.",18 Abernethy Street Wendouree QLD 3107
This is the perfect conclusion to the ten year run of expanding the Marvel Cinematic Universe. Everything came full circle.,15 Adinda Street Mount Gravatt NSW 2830
Extremely overhyped for no reason i suspect Disney paid reviewers to give good scores. Plot holes were everywhere and half of the movie was chit-chat and weird mix of drama and comedy. At the end it felt like a cheesy movie made for teenagers i was not impressed,85 Abercrombie Circuit Rosebud SA 2035
The movie was quite a let down as compared to infinity war. I felt the movie was plagued by numerous plot holes. The movie also felt very sluggish as it progressed. Overall i am unsatisfied with how Endgame went and i do not agree with the high ratings its been given just for the sake of it.,6 Abercorn Crescent Clayton SA 2570
"When I go on premiere I wait what I’m wait from Endgame! BUT, I see all what I didn’t closely expect, and they (Moviemader team) did great job, if they have +1 hour, and no more “she’s not alone” please, I think this movie will be on 10/10, hope we see directors cut version in future)...",3 Achernar Close Bayswater QLD 4868
